continent,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,population_density,median_age,gdp_per_capita,population,month,year
Africa,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3666530612244896,103.49245283018867,21.326785714285712,5443.837132075472,1426160609.0,1,2020
Africa,2020-02-29,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8518859957776215,103.49245283018867,21.326785714285712,5443.837132075472,1426160609.0,2,2020
Africa,2020-03-31,1639.8560947091348,5680.0,248.24450168567813,322.0,0.0,0.0,0.0,0.0,0.0,31.147959183673468,103.49245283018867,21.326785714285712,5443.837132075472,1426160609.0,3,2020
Africa,2020-04-30,19433.98261904762,31990.0,1327.4641100656754,1650.0,0.0,0.0,0.0,0.0,0.0,78.0232380952381,103.49245283018868,21.326785714285712,5443.837132075472,1426160609.0,4,2020
Africa,2020-05-31,84142.2741935484,106914.0,3074.5595092690396,2445.0,0.0,0.0,0.0,0.0,0.0,73.68015799868334,103.49245283018867,21.326785714285712,5443.837132075472,1426160609.0,5,2020
Africa,2020-06-30,259937.66666666666,256294.0,8307.566666666666,8129.0,0.0,0.0,0.0,0.0,0.0,65.67895238095238,103.49245283018868,21.326785714285712,5443.837132075472,1426160609.0,6,2020
Africa,2020-07-31,658668.4838709678,516704.0,17134.715052913427,9562.0,0.0,0.0,0.0,0.0,0.0,60.29832126398947,103.49245283018867,21.326785714285712,5443.837132075472,1426160609.0,7,2020
Africa,2020-08-31,1107957.935483871,335975.0,27721.677419354837,10046.0,0.0,0.0,0.0,0.0,0.0,57.22030941408821,103.49245283018867,21.326785714285712,5443.837132075472,1426160609.0,8,2020
Africa,2020-09-30,1373537.7000000002,230737.0,35751.13333333333,6385.0,0.0,0.0,0.0,0.0,0.0,54.89603401360544,103.49245283018868,21.326785714285712,5443.837132075472,1426160609.0,9,2020
Africa,2020-10-31,1632175.5483870967,303213.0,41531.54838709677,5836.0,0.0,0.0,0.0,0.0,0.0,49.67912442396313,103.49245283018867,21.326785714285712,5443.837132075472,1426160609.0,10,2020
Africa,2020-11-30,1983278.7333333334,392408.0,48298.5,7885.0,0.0,0.0,0.0,0.0,0.0,46.01062585034014,103.49245283018868,21.326785714285712,5443.837132075472,1426160609.0,11,2020
Africa,2020-12-31,2444652.419354839,567930.0,57981.74193548387,12797.0,0.0,0.0,0.0,0.0,0.0,45.866537195523364,103.49245283018867,21.326785714285712,5443.837132075472,1426160609.0,12,2020
